iter	Accuracy	Logloss
0	0.7199135872	0.6667051257
1	0.7201419137	0.6453744643
2	0.7201243501	0.6286336706
3	0.7200716594	0.6149983928
4	0.7201243501	0.6044507506
5	0.7201067866	0.5957001557
6	0.7219685261	0.5887168478
7	0.7223724884	0.5829720726
8	0.7214767458	0.5783686453
9	0.7214591822	0.5746331376
10	0.7220914711	0.5709485699
11	0.7233209217	0.5681903315
12	0.7235316847	0.5654873345
13	0.7250948433	0.5633117796
14	0.7258676409	0.5616503238
15	0.7252880427	0.560146353
16	0.7252880427	0.5588616253
17	0.7251650977	0.5576709632
18	0.7249894619	0.5567542655
19	0.7249894619	0.5559524337
20	0.7254988057	0.5550106024
21	0.726447239	0.5541713944
22	0.7259554588	0.5535618782
23	0.7264999297	0.5529873191
24	0.7269565828	0.5523930914
25	0.7272727273	0.5519301698
26	0.7269565828	0.5515631696
27	0.7270795279	0.5511898911
28	0.7272551637	0.55078453
29	0.7273429816	0.5504296442
30	0.7274132359	0.5501290653
31	0.7277820711	0.549866686
32	0.7280103976	0.5496409772
33	0.7281509063	0.5493957613
34	0.7285021779	0.5491876858
35	0.7286778137	0.5490090222
36	0.7286426865	0.5488005887
37	0.7286778137	0.5486056943
38	0.7288710131	0.5483275849
39	0.7289237038	0.5481487493
40	0.7290115217	0.5479481544
41	0.7290290853	0.547681509
42	0.7289237038	0.5475406337
43	0.7290993396	0.5474181165
44	0.7292222847	0.5473058314
45	0.7294330476	0.5471510104
46	0.7296965013	0.5470617473
47	0.7299072643	0.5469463199
48	0.7300126458	0.5468745763
49	0.7299072643	0.546809667
50	0.7299072643	0.5467128992
51	0.7298897007	0.5465671542
52	0.7299950822	0.5464036939
53	0.7299423915	0.5463153539
54	0.7302760995	0.5461508192
55	0.7300653365	0.5460063149
56	0.7301882816	0.5459121466
57	0.7301882816	0.5458385319
58	0.7301882816	0.5456932157
59	0.7302936631	0.5456145904
60	0.7302585359	0.5455375376
61	0.7303639174	0.5453911957
62	0.730381481	0.5453213656
63	0.7303990445	0.5452642689
64	0.7301882816	0.5451814806
65	0.7302234087	0.5451337716
66	0.7303287902	0.545052939
67	0.7302234087	0.5450208279
68	0.7303639174	0.5449177628
69	0.7302409723	0.5448671377
70	0.7302409723	0.5448044737
71	0.7302760995	0.544753736
72	0.7302585359	0.5447041886
73	0.7303287902	0.5446666671
74	0.7303463538	0.544573447
75	0.7303463538	0.5445368616
76	0.7304517353	0.5444487869
77	0.7304692989	0.5443867576
78	0.7304868624	0.5442959683
79	0.7305746803	0.5442795366
80	0.7303287902	0.5442118067
81	0.7304166081	0.5441929398
82	0.7304341717	0.5440957369
83	0.7306449347	0.5440529488
84	0.7307503161	0.5439933005
85	0.7306800618	0.5439502493
86	0.730838134	0.5438819205
87	0.7309259519	0.543818764
88	0.7309610791	0.5437714846
89	0.7309610791	0.5437184864
90	0.7310664606	0.5436725501
91	0.731048897	0.5435789908
92	0.7309435155	0.5435227368
93	0.7310664606	0.5434781535
94	0.7311894056	0.5434369829
95	0.7313299143	0.5433748788
96	0.7312947871	0.543293021
97	0.7314177322	0.5432358406
98	0.7314001686	0.5431839071
99	0.7313650415	0.5431570286
100	0.7315055501	0.5430530557
101	0.7315055501	0.5430044342
102	0.7314352958	0.5429781175
103	0.7315582408	0.5429414287
104	0.7315231137	0.5429083402
105	0.7312947871	0.5428556112
106	0.7315055501	0.5427922914
107	0.7313650415	0.5427311519
108	0.7314704229	0.5427116498
109	0.7315758044	0.5426676972
110	0.7315055501	0.5426390777
111	0.7314528594	0.5426010593
112	0.7314528594	0.5425658168
113	0.7314879865	0.5425291011
114	0.7314704229	0.5424942647
115	0.731382605	0.542449821
116	0.731382605	0.5423708452
117	0.7313474779	0.542321233
118	0.7314879865	0.5422594023
119	0.7315231137	0.5422393922
120	0.7315406773	0.5421929652
121	0.7314879865	0.5421431024
122	0.7315055501	0.5420915626
123	0.7314879865	0.5420475166
124	0.7315406773	0.5419910052
125	0.7317514402	0.5419270068
126	0.7317690038	0.5419203032
127	0.7318392581	0.5418188423
128	0.7318919489	0.5417824553
129	0.7319095124	0.5417331722
130	0.7319095124	0.5416930358
131	0.7319973303	0.54165028
132	0.7322080933	0.5415707043
133	0.7321554026	0.5415542085
134	0.7322959112	0.5415315235
135	0.7322959112	0.5414908723
136	0.7323310384	0.5414668719
137	0.7323310384	0.5414296567
138	0.7322959112	0.5414040965
139	0.7323661655	0.5413562253
140	0.7323661655	0.5413300291
141	0.7322959112	0.5412623639
142	0.732260784	0.5412068463
143	0.7322783476	0.5411632175
144	0.7323134748	0.5411289921
145	0.7323486019	0.5410909604
146	0.7323486019	0.541086295
147	0.7323134748	0.5410247218
148	0.7323310384	0.5409711146
149	0.7324188563	0.5409366474
150	0.7325242377	0.5408872311
151	0.7325593649	0.5408498385
152	0.7326647464	0.5408082122
153	0.7326120556	0.5407533471
154	0.7326120556	0.5407502055
155	0.7326296192	0.540685723
156	0.7327350007	0.5406499649
157	0.7328755093	0.5405533305
158	0.7328930729	0.540492129
159	0.7329457637	0.5404264036
160	0.7330511451	0.5403949137
161	0.7330687087	0.5403504359
162	0.7330511451	0.5403173229
163	0.7330335816	0.5402687699
164	0.7331038359	0.5402044504
165	0.7331565266	0.5401752665
166	0.7332443445	0.540129565
167	0.733138963	0.5401124827
168	0.733138963	0.5400646337
169	0.7332443445	0.5400289958
170	0.7333848532	0.5399817969
171	0.7333321624	0.5399229172
172	0.7334551075	0.5398825284
173	0.7334199803	0.5398485757
174	0.7334726711	0.5398118403
175	0.7334726711	0.5398084237
176	0.7334551075	0.539781603
177	0.7335253618	0.5397668596
178	0.7335253618	0.5397344866
179	0.7335780526	0.539692712
180	0.7335780526	0.5396669578
181	0.7334375439	0.5396139666
182	0.7335429254	0.5395693962
183	0.7335780526	0.5395191307
184	0.7335780526	0.5395170072
185	0.7337185612	0.5394886032
186	0.7337888155	0.5394497777
187	0.7337536884	0.5394054767
188	0.7337009976	0.5393823091
189	0.733560489	0.5393466251
190	0.733560489	0.5393435262
191	0.7334902346	0.5393181594
192	0.7336131797	0.5392756454
193	0.7337361248	0.5392244605
194	0.7338590698	0.5391394151
195	0.7337536884	0.5390833166
196	0.7337361248	0.5390578661
197	0.7337536884	0.5390272478
198	0.7338415063	0.5389917091
199	0.7338415063	0.5389903261
200	0.7338415063	0.5389880318
201	0.7338766334	0.5389543004
202	0.7338415063	0.5389429106
203	0.7338766334	0.5389181232
204	0.7339468877	0.5388727776
205	0.733894197	0.5388090897
206	0.733894197	0.5388052227
207	0.7339644513	0.5387371888
208	0.7339995785	0.5386611828
209	0.7340873964	0.5386421443
210	0.7340522692	0.5386012543
211	0.73410496	0.5385788529
212	0.7341400871	0.5385188796
213	0.7341225235	0.5384996758
214	0.73410496	0.5384977619
215	0.73410496	0.538454257
216	0.7340873964	0.5384313799
217	0.7340698328	0.5384109146
218	0.7340873964	0.5383717881
219	0.7340522692	0.5383401996
220	0.7340873964	0.5383051315
221	0.7340522692	0.5382847661
222	0.7341400871	0.53823401
223	0.7341225235	0.5381879684
224	0.7342103414	0.5381234418
225	0.7341752143	0.5380988895
226	0.7341225235	0.5380725886
227	0.7341225235	0.5379999728
228	0.7342630322	0.5379517259
229	0.7342981593	0.5378846091
230	0.7342454686	0.5378406703
231	0.7342454686	0.5378300135
232	0.7344211044	0.5377852675
233	0.734438668	0.5377453535
234	0.7343332865	0.5377156849
235	0.734438668	0.537662198
236	0.734438668	0.5376288312
237	0.7344035408	0.5375922366
238	0.7345264859	0.5375627082
239	0.7345440495	0.5375366491
240	0.7345089223	0.5375235421
241	0.734561613	0.5374890064
242	0.7346494309	0.5374426586
243	0.7345791766	0.537418052
244	0.7346845581	0.5373711475
245	0.7346669945	0.5373196585
246	0.7347021217	0.5372608016
247	0.7349304482	0.5372337898
248	0.7347548124	0.5371928561
249	0.7347548124	0.5371692522
250	0.7347021217	0.5371233863
251	0.7347021217	0.5371213999
252	0.7347021217	0.5370896539
253	0.7347372488	0.5370513727
254	0.7348075032	0.5369737986
255	0.7348075032	0.5369720273
256	0.7348250667	0.5369289463
257	0.7347372488	0.5369101424
258	0.7348250667	0.5368771629
259	0.7349128846	0.5368312621
260	0.7348777575	0.5368093001
261	0.7350182661	0.5367848968
262	0.7350182661	0.536758736
263	0.7351587748	0.5367053008
264	0.7351587748	0.536679566
265	0.7352114655	0.5366516514
266	0.7352641562	0.536618722
267	0.7352641562	0.5366169623
268	0.7353519741	0.5365605334
269	0.735316847	0.5365013627
270	0.735316847	0.5364690815
271	0.7353344106	0.5364557338
272	0.7353871013	0.5364342286
273	0.7353695377	0.5364023768
274	0.7353871013	0.536376562
275	0.7353519741	0.5363348366
276	0.7353344106	0.5363170738
277	0.7354046649	0.5362805046
278	0.7353871013	0.5362656797
279	0.7354573556	0.5362267929
280	0.735439792	0.5361980775
281	0.7354749192	0.536170576
282	0.7355276099	0.5361240683
283	0.7355276099	0.5361232642
284	0.7354749192	0.5361041252
285	0.7355100464	0.5360961637
286	0.7355100464	0.5360673446
287	0.7354749192	0.5360542237
