iter	Passed	Remaining
0	15	4672
1	30	4493
2	45	4457
3	58	4321
4	71	4247
5	85	4188
6	99	4163
7	113	4132
8	130	4203
9	144	4182
10	160	4205
11	175	4213
12	190	4203
13	205	4206
14	219	4177
15	234	4162
16	247	4126
17	260	4078
18	274	4061
19	288	4032
20	301	4004
21	317	4006
22	331	3994
23	345	3973
24	359	3955
25	373	3934
26	387	3913
27	403	3922
28	419	3919
29	435	3917
30	451	3918
31	466	3903
32	479	3881
33	493	3859
34	506	3835
35	522	3831
36	537	3822
37	556	3834
38	572	3833
39	588	3823
40	603	3811
41	617	3791
42	632	3780
43	644	3752
44	657	3728
45	677	3739
46	693	3733
47	708	3721
48	722	3700
49	737	3687
50	752	3673
51	766	3655
52	782	3646
53	798	3636
54	813	3624
55	828	3610
56	843	3594
57	858	3579
58	875	3575
59	890	3561
60	904	3541
61	917	3521
62	932	3506
63	946	3491
64	961	3477
65	976	3460
66	991	3446
67	1006	3435
68	1021	3420
69	1034	3397
70	1049	3384
71	1063	3368
72	1077	3349
73	1091	3334
74	1105	3316
75	1120	3303
76	1133	3282
77	1146	3261
78	1159	3242
79	1172	3223
80	1185	3206
81	1200	3190
82	1213	3171
83	1228	3158
84	1243	3146
85	1260	3135
86	1272	3115
87	1287	3101
88	1302	3088
89	1318	3076
90	1331	3057
91	1344	3040
92	1360	3028
93	1373	3009
94	1386	2990
95	1398	2972
96	1411	2954
97	1425	2938
98	1437	2918
99	1451	2903
100	1465	2888
101	1480	2873
102	1493	2856
103	1508	2842
104	1522	2828
105	1536	2812
106	1550	2796
107	1564	2781
108	1579	2767
109	1594	2753
110	1607	2737
111	1623	2724
112	1637	2709
113	1651	2695
114	1666	2681
115	1681	2666
116	1697	2654
117	1712	2640
118	1724	2623
119	1738	2608
120	1751	2591
121	1765	2575
122	1779	2560
123	1794	2546
124	1809	2532
125	1824	2519
126	1838	2504
127	1854	2492
128	1869	2478
129	1884	2464
130	1900	2451
131	1915	2437
132	1930	2424
133	1948	2413
134	1963	2400
135	1979	2386
136	1993	2372
137	2007	2356
138	2023	2343
139	2037	2328
140	2051	2313
141	2066	2299
142	2079	2283
143	2094	2269
144	2109	2254
145	2123	2239
146	2136	2223
147	2150	2208
148	2164	2193
149	2179	2179
150	2194	2165
151	2208	2150
152	2222	2135
153	2236	2120
154	2249	2104
155	2264	2090
156	2279	2075
157	2293	2061
158	2306	2045
159	2319	2029
160	2334	2015
161	2348	2000
162	2362	1985
163	2377	1971
164	2390	1956
165	2405	1941
166	2418	1925
167	2432	1911
168	2446	1896
169	2461	1882
170	2478	1869
171	2492	1855
172	2507	1840
173	2521	1826
174	2535	1811
175	2550	1796
176	2565	1783
177	2580	1768
178	2594	1754
179	2611	1741
180	2627	1727
181	2642	1713
182	2658	1699
183	2673	1685
184	2686	1670
185	2700	1655
186	2719	1643
187	2733	1628
188	2748	1614
189	2763	1600
190	2777	1585
191	2791	1570
192	2806	1555
193	2821	1541
194	2835	1526
195	2851	1512
196	2865	1498
197	2879	1483
198	2895	1469
199	2909	1454
200	2923	1439
201	2938	1425
202	2952	1410
203	2967	1396
204	2980	1381
205	2996	1367
206	3010	1352
207	3024	1337
208	3038	1323
209	3052	1308
210	3068	1294
211	3082	1279
212	3097	1265
213	3111	1250
214	3125	1235
215	3139	1220
216	3152	1205
217	3166	1191
218	3180	1176
219	3194	1161
220	3208	1146
221	3222	1132
222	3235	1117
223	3250	1102
224	3264	1088
225	3279	1073
226	3293	1059
227	3309	1045
228	3324	1030
229	3339	1016
230	3355	1002
231	3369	987
232	3384	973
233	3399	958
234	3414	944
235	3428	929
236	3443	915
237	3457	900
238	3470	885
239	3485	871
240	3499	856
241	3513	842
242	3528	827
243	3542	812
244	3556	798
245	3571	784
246	3588	770
247	3604	755
248	3620	741
249	3638	727
250	3653	713
251	3667	698
252	3682	684
253	3696	669
254	3711	654
255	3724	640
256	3745	626
257	3759	611
258	3772	597
259	3785	582
260	3799	567
261	3813	553
262	3827	538
263	3842	523
264	3856	509
265	3870	494
266	3884	480
267	3899	465
268	3914	451
269	3926	436
270	3939	421
271	3950	406
272	3965	392
273	3982	377
274	3999	363
275	4013	348
276	4027	334
277	4041	319
278	4054	305
279	4068	290
280	4081	275
281	4095	261
282	4109	246
283	4122	232
284	4136	217
285	4150	203
286	4163	188
287	4178	174
288	4191	159
289	4204	144
290	4218	130
291	4231	115
292	4245	101
293	4258	86
294	4272	72
295	4294	58
296	4317	43
297	4335	29
298	4352	14
299	4367	0
